#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-06-13T08:16:57 [V1.97 (28-Nov-2012)]
#   In case of problem. please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ51b97f734b13	
#INFO	-out.max=unlimited	
#INFO	queryParameters=28	
#-oc.form=sexa
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ._DEJ
#-sort=_r
#-nav=cat:II/237&tab:{II/237/colors}&cat:II/66&key:source=Ducati&HTTPPRM:&&-ref=VIZ51b97f734b13&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ._DEJ&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=II/237/colors
#-order=I
#-out=recno
#-out=Name
#-out=Doub
#-out=Var
#-out=r_SpType
#-out=SpType
#-out=RAJ1950
#-out=DEJ1950
#-out=Vmag
#-out=U-V
#-out=B-V
#-out=R-V
#-out=I-V
#-out=_RA.icrs
#-out=_DE.icrs
#Simbad=Simbad
#
#
#RESOURCE=yCat_2237
#Name: II/237
#Title: Stellar Photometry in Johnson's 11-color system (Ducati. 2002)
#Coosys	J1950:	eq_FK5 J1950
#Table	II_237_colors:
#Name: II/237/colors
#Title: Photometric data in the UBVRIJHKLMN colors
#Column	_RAJ2000	(A10)	Right ascension (FK5. Equinox=J2000.0) (computed by VizieR. not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(A9)	Declination (FK5. Equinox=J2000.0) (computed by VizieR. not part of the original data)	[ucd=pos.eq.dec]
#Column	recno	(I8)	Record number within the original table (starting from 1)	[ucd=meta.record]
#Column	Name	(a12)	star identification	[ucd=meta.id]
#Column	Doub	(A1)	[D13] D if double. 1 for component 1 of the system 3 for component 3 of the system	[ucd=meta.code.multip]
#Column	Var	(A1)	[V] V if variable	[ucd=meta.code;src.var]
#Column	r_SpType	(A1)	[MCYBK FGHPSTW] Source of spectral type (1)	[ucd=meta.ref;pos.frame]
#Column	SpType	(a15)	Spectral type/luminosity class	[ucd=src.spType]
#Column	RAJ1950	(A10)	Right ascension J1950	[ucd=pos.eq.ra;meta.main]
#Column	DEJ1950	(A9)	Declination J1950	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	V magnitude	[ucd=phot.mag;em.opt.V]
#Column	U-V	(F5.2)	? (U-V) color index	[ucd=phot.color;em.opt.U;em.opt.V]
#Column	B-V	(F5.2)	? (B-V) color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	R-V	(F5.2)	? (R-V) color index	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	I-V	(F6.2)	? (I-V) color index	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	_RA.icrs	(A10)	Right ascension (ICRS) (computed by VizieR. not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A9)	Declination (ICRS) (computed by VizieR. not part of the original data)	[ucd=pos.eq.dec]                                                                                          
#Column Bad Phot *      * if bad photometry (use it only for astrometry)                                                                                                         
#Column CommonName
recno ;Name          ;  _RAJ2000  ; _DEJ2000 ; RAJ1950   ; DEJ1950   ; Vmag   ; U-V    ; B-V    ; R-V    ; I-V    ; Doub; Var ;r_SpTy; SpType         ; Bad Phot (*); CommonName
  2759;  R   VOL     ; 07 05 36.8; -73 00 52 ; 07 06 32.3; -72 56 07 ;     8.7;        ;        ;        ;        ;     ; V   ; K    ; C(N)         e ;  ;
  2760;  AR  PUP     ; 08 03 00.3; -36 35 15 ; 08 01 09.2; -36 26 46 ;     8.7;        ;        ;        ;        ;     ; V   ; K    ; F0   I/II-F8I  ;  ;
  2761;  HD  88028   ; 10 07 32.7; -53 15 36 ; 10 05 41.3; -53 00 54 ;     8.7;        ;        ;        ;        ;     ; V   ; K    ; M0-M5(II)      ;  ;
  2762;  Z   SEX     ; 10 10 59.3; +02 33 29 ; 10 08 24.1; +02 48 17 ;     8.7;        ;        ;        ;        ;     ; V   ; K    ; M4-M5III       ;  ;
  2763;  HD  91620   ; 10 26 14.7; -84 20 53 ; 10 28 01.2; -84 05 32 ;     8.7;        ;        ;        ;        ;     ; V   ; K    ; M3-M6III     e ;  ;
  2764;  HD  94878   ; 10 55 58.9; -60 23 32 ; 10 53 57.9; -60 07 30 ;     8.7;   -0.03;    0.67;   -0.63;        ;     ; V   ; C    ; B0   V       e ;  ;
  2765;  HD 105578   ; 12 09 23.6; -45 25 33 ; 12 06 47.5; -45 08 51 ;     8.7;        ;        ;        ;        ;     ; V   ; K    ; A7   IB-G2PE   ;  ;
  2766;  RX  CEN     ; 13 51 26.7; -36 56 46 ; 13 48 29.9; -36 41 57 ;     8.7;        ;        ;        ;        ;     ; V   ; K    ; M5           e ;  ;
  2767;  HD 123949   ; 14 10 59.3; -19 08 38 ; 14 08 13.2; -18 54 32 ;     8.7;     2.7;     1.4;        ;        ;     ;     ; W    ; K0   III:Ba2  p;  ;
  2768;  EN  TRA     ; 14 57 02.3; -68 50 17 ; 14 52 30.0; -68 38 12 ;     8.7;        ;        ;        ;        ;     ; V   ; K    ; F2   Ib        ;  ;
  2769;  HD 144311   ; 16 05 59.3; -21 44 23 ; 16 03 02.3; -21 36 19 ;     8.7;        ;        ;        ;        ;     ; V   ; K    ; M5.5E:-M7E     ;  ;
  2770;  BD-17  4554 ; 16 22 30.6; -17 52 50 ; 16 19 37.4; -17 45 51 ;     8.7;        ;        ;        ;        ;     ; V   ; K    ; PEC(E)         ;  ;
  2771;  HD 169582   ; 18 25 43.1; -09 45 10 ; 18 22 57.9; -09 46 56 ;     8.7;    0.04;    0.54;        ;        ;     ;     ; B    ; O5.5      f    ;  ;
  2772;  PU  VUL     ; 19 31 47.8; +25 57 45 ; 19 29 44.0; +25 51 18 ;     8.7;        ;        ;        ;        ;     ; V   ; K    ; A4   II-F8Iab  ;  ;
  2773;  HD 232078   ; 19 38 11.9; +16 48 25 ; 19 35 56.5; +16 41 33 ;     8.7;    4.18;    2.03;        ;        ;     ;     ; C    ; K3   II       p;  ;
  2774;  HD 189191   ; 19 59 05.7; -07 52 48 ; 19 56 23.9; -08 01 01 ;     8.7;        ;        ;        ;        ;     ; V   ; K    ; M5-M8        e ;  ;
  2775;  HD 229059   ; 20 21 15.3; +37 24 30 ; 20 19 23.3; +37 14 54 ;     8.7;    1.96;    1.53;        ;        ;     ;     ; C    ; B1.5 Ia       p;  ;
  2776;  HD 218541   ; 23 09 05.4; -30 08 01 ; 23 06 22.9; -30 24 17 ;     8.7;        ;        ;        ;        ;     ; V   ; K    ; M4             ;  ;
  2777;  HD  17166   ; 02 44 24.3; -29 13 32 ; 02 42 15.1; -29 26 10 ;    8.71;        ;        ;        ;        ;     ; V   ; K    ; M6             ;  ;
  2778;  HD  21581   ; 03 28 54.2; -00 24 59 ; 03 26 20.9; -00 35 17 ;    8.71;    1.04;    0.83;        ;        ;     ;     ;      ;                ;  ;
  2779;  HD 259431   ; 06 33 05.1; +10 19 18 ; 06 30 19.3; +10 21 36 ;    8.72;   -0.33;    0.23;        ;        ;     ;     ; C    ; B6           ep;  ;
  2780;  HD  63353   ; 07 48 45.4; +05 23 35 ; 07 46 06.0; +05 31 08 ;    8.72;     5.6;    2.51;        ;        ;     ; V   ; K    ; C7.2(R6)       ;  ;
  2781;  HD  74721   ; 08 45 59.3; +13 15 51 ; 08 43 13.6; +13 26 51 ;    8.72;    0.16;    0.03;        ;        ;     ;     ; C    ; A0   V         ;  ;
  2782;  HD  93027   ; 10 43 17.5; -60 08 03 ; 10 41 22.3; -59 52 18 ;    8.72;   -0.86;       0;        ;        ;     ;     ; C    ; O9.5 V         ;  ;
  2783;  HD 114606   ; 13 11 23.2; +09 37 18 ; 13 08 52.9; +09 53 14 ;    8.72;    0.69;    0.62;   -0.54;   -0.91;    1;     ; B    ; G1   V         ;  ;
  2784;  HD 198931   ; 20 52 09.5; +44 26 03 ; 20 50 23.7; +44 14 42 ;    8.72;    0.28;    0.59;        ;        ;     ;     ; B    ; B0   V         ;  ;
  2785;  BD+17  3325 ; 17 45 42.8; +17 12 52 ; 17 43 29.7; +17 13 59 ;    8.73;    2.31;    1.18;   -0.81;    -1.4;     ;     ;      ;                ;  ;
  2786;  HD 222589   ; 23 41 06.7; +74 24 06 ; 23 38 53.6; +74 07 28 ;    8.73;    1.09;    0.77;   -0.65;   -1.11;     ;     ; C    ; M0   Ib        ;  ;
  2787;  HD 164270   ; 18 01 42.9; -32 42 53 ; 17 58 26.3; -32 42 53 ;    8.74;   -0.22;    0.23;        ;        ;     ;     ; C    ; WC8            ;  ;
  2788;  HD  14476   ; 02 22 16.9; +57 16 18 ; 02 18 43.6; +57 02 38 ;    8.75;   -0.13;    0.38;        ;        ;     ;     ; C    ; B0.5 III       ;  ;
  2789;  HD 249845   ; 05 59 31.9; +32 53 12 ; 05 56 15.0; +32 53 03 ;    8.75;   -0.49;    0.05;        ;        ;     ;     ; C    ; B2  :V     nnep;  ;
  2790;  HD 239748   ; 21 43 41.1; +58 14 22 ; 21 42 07.9; +58 00 34 ;    8.75;   -0.49;    0.17;        ;        ;     ;     ; C    ; B2             ;  ;
  2791;  HD 344776   ; 19 42 49.5; +23 27 48 ; 19 40 41.9; +23 20 37 ;    8.76;    0.28;    0.65;        ;        ;     ;     ; C    ; B0.5 Ib        ;  ;
  2792;  BD+29   366 ; 02 10 23.3; +29 48 36 ; 02 07 29.3; +29 34 28 ;    8.77;     0.5;    0.58;   -0.53;   -0.92;     ;     ;      ;                ;  ;
  2793;  HD 102851   ; 11 50 16.4; -51 28 13 ; 11 47 46.7; -51 11 32 ;    8.77;    1.97;    1.07;   -0.85;   -1.46;     ;     ; M    ; K0.5 III CNV  p;  ;
  2794;  HD 168075   ; 18 18 36.0; -13 47 37 ; 18 15 45.9; -13 48 52 ;    8.77;   -0.15;    0.45;        ;        ;     ;     ; M    ; O7             ;  ;
  2795;  HD  22285   ; 03 33 59.0; -34 47 45 ; 03 32 02.6; -34 57 45 ;    8.78;    1.69;    1.05;        ;        ;     ;     ; M    ; G/K      Ba   p;  ;
  2796;  HD  54627   ; 07 07 15.7; -46 36 59 ; 07 05 49.6; -46 32 12 ;    8.78;    1.77;    0.97;   -0.78;   -1.34;     ;     ; M    ; K1 (III) (+ G) ;  ;
  2797;  HD  90707   ; 10 26 54.9; -57 40 31 ; 10 25 03.1; -57 25 12 ;    8.78;   -0.28;    0.27;        ;        ;     ;     ; C    ; B1   III       ;  ;
  2798;  HD  96650   ; 11 07 15.8; -55 07 25 ; 11 05 04.3; -54 51 10 ;    8.78;        ;    2.87;        ;        ;     ; V   ; K    ; N3             ;  ;
  2799;  BD-12  4970 ; 18 17 46.8; -12 29 56 ; 18 14 58.3; -12 31 08 ;    8.78;    0.91;    1.02;        ;        ;     ;     ; C    ; B0.5 Ia        ;  ;
  2800;  HD 100764   ; 11 35 42.7; -14 35 34 ; 11 33 10.9; -14 18 58 ;    8.79;        ;        ;   -0.71;   -1.14;     ;     ; M    ; CH             ;  ;
  2801;  HD 150193   ; 16 40 17.7; -23 53 43 ; 16 37 16.3; -23 47 55 ;    8.79;     0.9;    0.53;        ;        ;     ;     ; M    ; A1   V         ;  ;
  2802;  HD   9085   ; 01 28 49.6; -36 49 57 ; 01 26 34.6; -37 05 27 ;     8.8;        ;        ;        ;        ;     ;     ; M    ; M2   III       ;  ;
  2803;  HD  26169   ; 04 00 50.3; -75 36 14 ; 04 02 04.0; -75 44 30 ;     8.8;    0.78;    0.73;        ;        ;     ;     ; M    ; G3W           p;  ;
  2804;  HD 245465   ; 05 36 29.4; +06 49 58 ; 05 33 47.7; +06 48 10 ;     8.8;        ;        ;        ;        ;     ; V   ; K    ; F2     a     ep;  ;
  2805;  RW  PUP     ; 06 09 09.9; -50 12 24 ; 06 07 56.3; -50 11 47 ;     8.8;        ;        ;        ;        ;     ; V   ; K    ; M3-M6        e ;  ;
  2806;  HD  53179   ; 07 03 43.2; -11 33 06 ; 07 01 22.6; -11 28 36 ;     8.8;    1.71;    1.19;        ;        ;     ; V   ; K    ; B8PEQ          ;  ;
  2807;  HD  56504A  ; 07 16 00.2; -29 29 33 ; 07 14 02.2; -29 24 11 ;     8.8;        ;        ;        ;        ;     ;     ; M    ; B9   IV        ;  ;
  2808;  HD  69464   ; 08 15 48.4; -35 37 52 ; 08 13 54.4; -35 28 36 ;     8.8;   -0.33;    0.31;        ;        ;     ;     ; M    ; O6.5           ;  ;
  2809;  T   LYN     ; 08 22 42.9; +33 31 10 ; 08 19 32.9; +33 40 49 ;     8.8;        ;        ;        ;        ;     ; V   ; K    ; C5.2E-C7.1     ;  ;
  2810;  HD  76536   ; 08 54 59.1; -47 35 32 ; 08 53 18.2; -47 24 02 ;     8.8;    0.24;    0.33;        ;        ;     ;     ; M    ; WC             ;  ;
  2811;  HD  81137   ; 09 21 59.1; -52 33 50 ; 09 20 20.9; -52 20 59 ;     8.8;        ;        ;        ;        ;     ; V   ; K    ; M3   IB :+B  ep;  ;
  2812;  HD  92090   ; 10 35 37.5; -70 43 03 ; 10 34 12.6; -70 27 29 ;     8.8;        ;        ;        ;        ;     ; V   ; K    ; M4-M8        e ;  ;
  2813;  HD  93162   ; 10 44 10.5; -59 43 10 ; 10 42 14.2; -59 27 23 ;     8.8;        ;        ;        ;        ;     ;     ; M    ; WN             ;  ;
  2814;  HD 111223   ; 12 47 20.1; +38 22 02 ; 12 44 57.0; +38 38 24 ;     8.8;        ;        ;        ;        ;     ; V   ; K    ; M7           e ;  ;
  2815;  HD 114105   ; 13 09 24.3; -60 15 01 ; 13 06 16.7; -59 59 02 ;     8.8;        ;        ;        ;        ;     ; V   ; K    ; M5-M7          ;  ;
  2816;  HD 142143   ; 15 50 46.6; +48 29 00 ; 15 49 16.7; +48 37 58 ;     8.8;        ;        ;        ;        ;     ; V   ; K    ; M6-7 IIIAS     ;  ;
  2817;  HD 142927   ; 15 56 15.0; +29 14 29 ; 15 54 13.4; +29 23 08 ;     8.8;        ;        ;        ;        ;     ; V   ; K    ; M4E-M5E        ;  ;
  2818;  HD 144578   ; 16 04 13.3; +50 29 56 ; 16 02 50.6; +50 38 04 ;     8.8;        ;        ;        ;        ;     ; V   ; K    ; C5.7E-C8.1     ;  ;
  2819;  T   OPH     ; 16 33 43.6; -16 07 56 ; 16 30 52.0; -16 01 42 ;     8.8;        ;        ;        ;        ;     ; V   ; K    ; M6.5E          ;  ;
  2820;  HD 155734   ; 17 14 51.2; -33 26 06 ; 17 11 34.3; -33 22 43 ;     8.8;        ;        ;        ;        ;     ; V   ; K    ; M5           e ;  ;
  2821;  BD+00  4064 ; 18 57 33.4; +00 27 20 ; 18 55 00.2; +00 23 16 ;     8.8;     4.7;    2.57;   -2.38;   -4.21;     ; V   ; C    ; M0             ;  ;
  2822;  HD 193368   ; 20 18 33.2; +37 27 00 ; 20 16 41.6; +37 17 34 ;     8.8;        ;        ;        ;        ;     ; V   ; K    ; C8.2JLI(N3)    ;  ;
  2823;  Y   DEL     ; 20 41 39.1; +11 52 36 ; 20 39 16.0; +11 41 50 ;     8.8;        ;        ;        ;        ;     ; V   ; K    ; M8           e ;  ;
  2824;  X   PEG     ; 21 21 00.7; +14 27 03 ; 21 18 38.0; +14 14 16 ;     8.8;        ;        ;        ;        ;     ; V   ; K    ; M2-M5        e ;  ;
  2825;  HD 212243   ; 22 23 12.6; -22 03 22 ; 22 20 27.6; -22 18 34 ;     8.8;        ;        ;        ;        ;     ; V   ; K    ; M5-M6        e ;  ;
  2826;  HD 214419   ; 22 36 53.9; +56 54 22 ; 22 34 56.8; +56 38 46 ;     8.8;   -0.12;    0.41;        ;        ;     ; V   ; B    ; WN 7  A        ;  ;
  2827;  HD 214362   ; 22 37 57.7; -22 38 35 ; 22 35 14.0; -22 54 12 ;     8.8;        ;        ;        ;        ;     ;     ; M    ; GWA/F          ;  ;
  2828;  HD 217949   ; 23 04 07.7; +15 21 55 ; 23 01 38.5; +15 05 44 ;     8.8;        ;        ;        ;        ;     ; V   ; K    ; K3-M6.5      e ;  ;
  2829;  BD+10  1219 ; 06 40 51.1; +10 01 42 ; 06 38 05.7; +10 04 34 ;    8.81;    -0.5;   -0.06;        ;        ;     ;     ; C    ; A              ;  ;
  2830;  HD 236835 B ; 01 43 02.7; +56 30 46 ; 01 39 45.9; +56 15 40 ;    8.82;    4.08;    1.99;        ;        ;     ;     ; C    ; M2   Ib        ;  ;
  2831;  HD 172730   ; 18 41 56.5; -04 07 03 ; 18 39 18.0; -04 10 00 ;    8.82;        ;    1.35;        ;        ;     ; V   ; K    ; F4-G5          ;  ;
  2832;  HD  35972   ; 05 28 24.6; -00 42 06 ; 05 25 51.7; -00 44 29 ;    8.83;    -0.2;    0.07;        ;        ;     ;     ; C    ; A0             ;  ;
  2833;  HD  38165   ; 05 43 43.7; -00 56 17 ; 05 41 11.1; -00 57 34 ;    8.83;    0.05;    0.25;    -0.3;    -0.5;     ;     ; C    ; B9             ;  ;
  2834;  HD 258853   ; 06 31 15.2; +09 47 26 ; 06 28 30.0; +09 49 36 ;    8.83;   -0.55;    0.02;        ;        ;     ;     ; C    ; B3             ;  ;
  2835;  HD  47032   ; 06 36 46.5; +04 41 38 ; 06 34 07.3; +04 44 12 ;    8.83;   -0.12;    0.45;        ;        ;     ;     ; C    ; B7   III       ;  ;
  2836;  HD 188510   ; 19 55 09.7; +10 44 10 ; 19 52 47.0; +10 36 12 ;    8.83;    0.47;    0.58;        ;        ;     ;     ; B    ; G5   V   WLE   ;  ;
  2837;  HD 239689   ; 21 30 45.9; +57 11 59 ; 21 29 15.0; +56 58 44 ;    8.83;   -0.43;    0.19;        ;        ;     ;     ; C    ; B2             ;  ;
  2838;  HD 118659   ; 13 37 59.8; +19 09 08 ; 13 35 35.7; +19 24 22 ;    8.84;    0.74;    0.68;        ;        ;     ;     ; C    ; G5             ;  ;
  2839;  HD 132776   ; 15 01 02.3; -02 52 10 ; 14 58 26.3; -02 40 20 ;    8.84;    2.28;    1.15;   -0.91;   -1.56;     ;     ; C    ; G5             ;  ;
  2840;  HD 136734   ; 15 23 04.3; -24 03 30 ; 15 20 07.7; -23 52 51 ;    8.84;        ;        ;        ;        ;     ; V   ; K    ; K5E:-M5.6E     ;  ;
  2841;  TX  DEL     ; 20 50 12.5; +03 39 07 ; 20 47 41.9; +03 27 53 ;    8.84;        ;        ;        ;        ;     ; V   ; K    ; G0-G5          ;  ;
  2842;  HD 209318   ; 22 01 30.4; +43 53 25 ; 21 59 28.6; +43 38 56 ;    8.84;        ;        ;        ;        ;     ; V   ; K    ; G9   IV+K1IV   ;  ;
  2843;  HD  16779   ; 02 43 38.4; +57 49 40 ; 02 39 56.0; +57 36 57 ;    8.85;    0.48;    0.74;        ;        ;     ;     ; C    ; B2   Ib        ;  ;
  2844;  HD 303492   ; 10 51 52.6; -58 58 33 ; 10 49 51.7; -58 42 36 ;    8.85;    0.15;     0.6;        ;        ;     ;     ; C    ; O9   Ia    :   ;  ;
  2845;  HD  97966   ; 11 15 11.6; -59 24 56 ; 11 13 00.2; -59 08 34 ;    8.85;   -0.83;    0.04;        ;        ;     ;     ; M    ; B7   Iab/Ib    ;  ;
  2846;  HD 155737   ; 17 15 13.2; -39 39 04 ; 17 11 45.3; -39 35 42 ;    8.85;        ;    2.06;   -2.37;   -4.45; D   ;     ; M    ; M0/2           ;  ;
  2847;  BD+45  3349 ; 20 57 59.3; +46 28 02 ; 20 56 15.8; +46 16 22 ;    8.85;    5.06;    2.56;        ;        ;     ; V   ; K    ; M3   Iab       ;  ;
  2848;  HD  13969   ; 02 17 49.7; +57 05 25 ; 02 14 18.5; +56 51 34 ;    8.86;    -0.3;    0.29;    -0.3;   -0.53;     ;     ; C    ; B1   IV        ;  ;
  2849;  BD+41  3306 ; 19 18 59.8; +41 38 38 ; 19 17 22.0; +41 33 03 ;    8.86;    1.15;    0.81;   -0.68;    -1.2;     ;     ; C    ; K0   V         ;  ;
  2850;  HD 199801   ; 20 59 17.1; +08 38 15 ; 20 56 50.5; +08 26 32 ;    8.86;    0.57;    0.58;   -0.47;   -0.83;     ;     ; C    ; K5             ;  ;
  2851;  HD  38238   ; 05 44 18.6; +00 08 41 ; 05 41 44.7; +00 07 27 ;    8.87;    0.57;    0.35;        ;        ;     ;     ; C    ; A7   III       ;  ;
  2852;  HD 140543   ; 15 44 56.5; -21 48 52 ; 15 42 00.7; -21 39 30 ;    8.88;   -0.91;   -0.02;        ;        ;     ;     ; M    ; B1   Iab/Ib(n) ;  ;
  2853;  HD 161291   ; 17 45 50.3; -27 12 59 ; 17 42 42.3; -27 11 50 ;    8.88;    0.49;    0.73;        ;        ;     ;     ; M    ; B0.5 Iab       ;  ;
  2854;  HD  98014   ; 11 15 36.2; -57 55 41 ; 11 13 23.4; -57 39 18 ;    8.89;     4.8;    2.25;        ;        ;     ; V   ; K    ; C(N3)          ;  ;
  2855;  HD   7983   ; 01 19 00.8; -08 55 59 ; 01 16 30.6; -09 11 44 ;     8.9;    0.58;    0.59;   -0.54;    -0.9;     ;     ; C    ; G2   V         ;  ;
  2856;  BD+59   594 ; 03 07 41.2; +60 29 23 ; 03 03 42.3; +60 17 52 ;     8.9;     5.4;    2.78;   -2.36;   -4.17;     ;     ; C    ; M1   Iab       ;  ;
  2857;  V   ORI     ; 05 06 03.3; +04 06 11 ; 05 03 25.0; +04 02 12 ;     8.9;        ;        ;        ;        ;     ; V   ; K    ; M3-M8.0      e ;  ;
  2858;  HD 255045   ; 06 18 58.9; +10 19 32 ; 06 16 13.0; +10 20 49 ;     8.9;    3.44;    1.64;    -1.7;   -3.23;     ;     ; C    ; M0             ;  ;
  2859;  HD  56847   ; 07 18 09.5; -15 37 40 ; 07 15 53.4; -15 32 09 ;     8.9;   -0.29;    0.19;   -0.28;   -0.48;     ;     ; M    ; B5   Ib        ;  ;
  2860;  AC  PUP     ; 08 22 44.0; -15 54 57 ; 08 20 25.7; -15 45 16 ;     8.9;        ;        ;        ;        ;     ; V   ; K    ; C5.4(N)        ;  ;
  2861;  HD  80837   ; 09 20 20.7; -49 31 23 ; 09 18 37.2; -49 18 37 ;     8.9;        ;        ;        ;        ;     ; V   ; K    ; M7   III(II) e ;  ;
  2862;  HD  93795   ; 10 48 23.0; -59 32 25 ; 10 46 24.5; -59 16 33 ;     8.9;        ;        ;        ;        ;     ;     ; M    ; A2/3   Shell  p;  ;
  2863;  HD  94362   ; 10 53 41.2; +13 43 06 ; 10 51 02.7; +13 59 05 ;     8.9;        ;        ;        ;        ;     ; V   ; K    ; M5.5-M7      e ;  ;
  2864;  HD  96622   ; 11 06 59.8; -59 40 04 ; 11 04 52.6; -59 23 49 ;     8.9;   -0.74;    0.12;        ;        ;     ;     ; M    ; O9.5 IV        ;  ;
  2865;  HD 127233   ; 14 30 58.7; -30 05 49 ; 14 28 01.6; -29 52 33 ;     8.9;    2.16;    1.44;        ;        ;     ; V   ; C    ; M7   III:      ;  ;
  2866;  S   OPH     ; 16 34 15.1; -17 09 37 ; 16 31 22.3; -17 03 25 ;     8.9;        ;        ;        ;        ;     ; V   ; K    ; M5           e ;  ;
  2867;  HD 177456   ; 19 06 58.1; -45 58 12 ; 19 03 17.9; -46 02 53 ;     8.9;        ;        ;        ;        ;     ; V   ; K    ; M3   Iab       ;  ;
  2868;  S   AQL     ; 20 11 37.4; +15 37 12 ; 20 09 19.3; +15 28 12 ;     8.9;        ;        ;        ;        ;     ; V   ; K    ; M3-M5.5      e ;  ;
  2869;  HD 192737   ; 20 17 09.2; -21 19 36 ; 20 14 13.7; -21 28 55 ;     8.9;        ;    4.02;        ;        ;     ; V   ; K    ; C6.4(N3)       ;  ;
  2870;  HD 210662   ; 22 11 39.5; +14 21 31 ; 22 09 13.6; +14 06 41 ;     8.9;        ;        ;        ;        ;     ; V   ; K    ; M3-M5        e ;  ;
  2871;  HD 235749   ; 22 11 35.6; +55 16 03 ; 22 09 45.9; +55 01 13 ;     8.9;    1.78;    1.63;        ;        ;     ;     ; C    ; M0   III       ;  ;
  2872;  HD 213985   ; 22 35 27.3; -17 15 24 ; 22 32 45.9; -17 30 57 ;     8.9;    0.41;    0.18;        ;        ;     ;     ; M    ; A0   III       ;  ;
  2873;  BD+60  2613 ; 23 44 05.5; +61 47 39 ; 23 41 41.0; +61 31 00 ;     8.9;     3.9;    2.58;   -2.82;      -5;     ; V   ; K    ; M3   Ia        ;  ;
  2874;  HD  20038   ; 03 10 28.0; -58 49 37 ; 03 09 16.0; -59 00 55 ;    8.91;    1.25;    0.83;        ;        ;     ;     ; M    ; F7WG6III       ;  ;
  2875;  HD 226868   ; 19 58 21.4; +35 12 05 ; 19 56 28.7; +35 03 54 ;    8.91;    0.53;    0.81;        ;        ;     ;     ; C    ; B0   Ib        ;  ;
  2876;  HD  13658   ; 02 15 13.1; +58 08 32 ; 02 11 40.5; +57 54 35 ;    8.92;    4.93;    2.31;   -1.92;   -3.43;     ;     ; B    ; M1   Iab       ;  ;
  2877;  HD  24600   ; 03 55 58.6; +32 09 46 ; 03 52 49.1; +32 01 04 ;    8.92;    0.19;    0.24;        ;        ;     ;     ; B    ; B8   V         ;  ;
  2878;  BD+37  1458 ; 06 16 01.0; +37 43 34 ; 06 12 35.7; +37 44 37 ;    8.92;    0.49;     0.6;   -0.58;   -1.01;     ;     ;      ;                ;  ;
  2879;  HD 228779   ; 20 17 54.1; +34 49 02 ; 20 15 58.7; +34 39 38 ;    8.92;    1.53;    1.31;        ;        ;     ;     ; C    ; O9.5 Ib        ;  ;
  2880;  HD 239745   ; 21 43 24.3; +57 01 22 ; 21 41 48.4; +56 47 35 ;    8.92;   -0.32;    0.29;        ;        ;     ;     ; C    ; B3             ;  ;
  2881;  HD 168137   ; 18 18 56.0; -13 48 28 ; 18 16 05.9; -13 49 45 ;    8.94;   -0.22;    0.42;        ;        ;     ;     ; M    ; B3   Ib        ;  ;
  2882;  HD 248411   ; 05 51 54.3; +28 15 42 ; 05 48 44.7; +28 15 00 ;    8.95;   -0.08;   -0.02;        ;        ;     ;     ; C    ; B              ;  ;
  2883;  HD 170836   ; 18 32 12.1; -19 16 31 ; 18 29 15.2; -19 18 45 ;    8.95;    0.08;    0.31;        ;        ;     ;     ; M    ; B8   II        ;  ;
  2884;  HD  14250   ; 02 20 15.6; +57 05 56 ; 02 16 43.5; +56 52 11 ;    8.96;   -0.22;    0.32;    -0.3;   -0.48;     ; V   ; C    ; B0.5 V     :n  ;  ;
  2885;  HD 285773   ; 04 29 31.1; +17 53 35 ; 04 26 37.6; +17 47 04 ;    8.96;    1.32;    0.83;   -0.65;   -1.06;     ;     ; C    ; G5             ;  ;
  2886;  HD  48055   ; 06 41 49.7; +09 30 28 ; 06 39 04.9; +09 33 24 ;    8.96;   -0.79;   -0.13;        ;        ;     ;     ; C    ; B9             ;  ;
  2887;  HD 114213   ; 13 10 21.3; -61 28 19 ; 13 07 11.4; -61 12 22 ;    8.96;     0.9;    0.92;        ;        ;     ;     ; M    ; B1   Ib        ;  ;
  2888;  HD 122669   ; 14 05 22.0; -62 30 25 ; 14 01 42.7; -62 16 05 ;    8.96;   -0.36;    0.36;        ;        ;     ;     ; M    ; O/B          e ;  ;
  2889;  HD  19510   ; 03 08 30.6; +10 26 49 ; 03 05 48.0; +10 15 23 ;    8.97;    0.48;    0.28;        ;        ;     ; V   ; C    ; A0             ;  ;
